Image Location,Image Tag,Algorithm Name,Start Time,Job Id,Analysis Region,Total Cells,Htox Positive Cells,IHC Positive Cells,Negative Cells,Htox Positive Nuclei,IHC Positive Nuclei,Negative Nuclei,% Htox Positive Cells,% IHC Positive Cells,% Htox Positive Nuclei,% IHC Positive Nuclei,Htox Avg Nuclei OD,Htox Avg Positive Nuclei OD,IHC Avg Nuclei OD,IHC Avg Positive Nuclei OD,Avg Cell Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Tissue Area (μm²),Analysis Inputs
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\1% controls and rejected images\ELOT41__1-hESC-RCP_13-0550-15-OCT4.ndpi,1pct control-hESC-RCP_13-0550-15-OCT4.ndpi,OCT4 Nuc,5/28/2023 12:12,14286,Aggregate,205612,205611,2634,1,205611,2634,1,99.999512,1.281054,99.999512,1.281054,0.379745,0.379747,0.020488,0.467434,27.973373,27.973373,22.749428,0.758784,25718694,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\1% controls and rejected images\ELOT41__1-hESC-RCP_13-0550-16-OCT4.ndpi,1pct control-hESC-RCP_13-0550-16-OCT4.ndpi,OCT4 Nuc,5/28/2023 13:06,14287,Aggregate,193505,193505,1671,0,193505,1671,0,100,0.863544,100,0.863544,0.319342,0.319342,0.012828,0.409109,30.550817,30.550817,23.782427,0.764236,23499514,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-7-OCT4.ndpi,LOT71_14-0378-7-OCT4.ndpi,OCT4 Nuc,5/28/2023 12:32,14295,Aggregate,356513,356500,18,13,356500,18,13,99.996353,0.005049,99.996353,0.005049,0.293481,0.293492,0.006405,0.435775,27.744898,27.744898,22.66762,0.758509,41257984,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-10-OCT4.ndpi,LOT71_14-0378-10-OCT4.ndpi,OCT4 Nuc,5/28/2023 13:14,14296,Aggregate,383770,383751,34,17,383751,34,17,99.995049,0.008859,99.995049,0.008859,0.299907,0.299922,0.005224,0.463266,27.552887,27.552887,22.613602,0.757065,43384192,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-11-ISO.ndpi,LOT71_14-0378-11-ISO.ndpi,OCT4 Nuc,5/28/2023 13:19,14294,Aggregate,404608,404606,33,0,404606,33,0,99.999504,0.008156,99.999504,0.008156,0.315552,0.315554,0.006,0.44098,27.423582,27.423582,22.608606,0.754025,45631520,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-13-OCT4.ndpi,LOT71_14-0378-13-OCT4.ndpi,OCT4 Nuc,5/28/2023 13:09,14297,Aggregate,405947,405931,43,14,405931,43,14,99.996056,0.010593,99.996056,0.010593,0.313319,0.313331,0.005159,0.492106,27.212931,27.212931,22.498466,0.754906,45010932,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-14-ISO.ndpi,LOT71_14-0378-14-ISO.ndpi,OCT4 Nuc,5/28/2023 12:37,14293,Aggregate,402353,402352,42,1,402352,42,1,99.999748,0.010439,99.999748,0.010439,0.31763,0.317631,0.005434,0.452619,27.238981,27.238981,22.511896,0.754871,45879032,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-16-OCT4.ndpi,LOT71_14-0378-16-OCT4.ndpi,OCT4 Nuc,5/28/2023 12:47,14291,Aggregate,392493,392490,42,2,392490,42,2,99.999237,0.010701,99.999237,0.010701,0.312136,0.312138,0.004046,0.496426,26.717005,26.717005,22.263344,0.755694,43247144,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-17-ISO.ndpi,LOT71_14-0378-17-ISO.ndpi,OCT4 Nuc,5/28/2023 12:42,14292,Aggregate,395086,395085,35,1,395085,35,1,99.999748,0.008859,99.999748,0.008859,0.307696,0.307696,0.003954,0.446277,27.078354,27.078354,22.426451,0.755534,43569204,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
\\Images\HistologyImages\OCT4 images\OCT4-LOT71\LOT71_14-0378-19-OCT4.ndpi,LOT71_14-0378-19-OCT4.ndpi,OCT4 Nuc,5/28/2023 12:52,14290,Aggregate,363784,363782,68,0,363782,68,0,99.999451,0.018692,99.999451,0.018692,0.33561,0.335612,0.004258,0.462404,26.981794,26.981794,22.402893,0.753241,40247352,"Class List:;Classifier:;Classifier Output Type:Mask;Classify Registered:;Image Zoom:1;Nuclear Masker:;Nuclear Masker Type:AI Default;Phenotyper:;num_markers:2 stains;use_nn:true;nuclear_contrast:0.5;nuclear_min_intensity:0.1;nuclear_min_area:11.3;nuclear_max_area:220.7;nuclear_roundness:0.5;nuclear_segg_agg:0.5;nuclear_fill_holes:false;cyto_radius:0;membrane_segg_agg:0;cell_min_area:10;cell_max_area:600;min_tissue_od:0.037;tissue_edge_thickness:0;verbose:true;stain_name:Htox;stain_name:IHC;Stain 1:0.320,0.267,0.130;stain_nuclei_weight:1;stain_nuclei_weight:0.5;stain_use_membrane:False;stain_use_membrane:False;stain_markup_color:122,137,189;stain_markup_color:0,255,0;stain_nuclei_positive_threshold_weak:0.01;stain_nuclei_positive_threshold_weak:0.3;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_mod:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_positive_threshold_strong:2.5;stain_nuclei_completeness_threshold:0;stain_nuclei_completeness_threshold:0;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_weak:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_mod:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_positive_threshold_strong:2.5;stain_cyto_completeness_threshold:0;stain_cyto_completeness_threshold:0;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_weak:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_mod:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_positive_threshold_strong:2.5;stain_membrane_completeness_threshold:0;stain_membrane_completeness_threshold:0;Stain 2:0.390,0.543,0.674;num_phenotypes:0;exclusion_stain:None;output_image:Cell Markup"
